Country,Confirmed Cases,Recovered Cases,Deaths
Afghanistan,40,1,1
Aland Islands,0,0,0
Albania,89,2,2
Algeria,201,65,17
American Samoa,,,
Andorra,113,1,1
Angola,2,0,0
Anguilla,,,
Antarctica,0,0,0
Antigua and Barbuda,1,0,0
Argentina,225,3,4
Armenia,194,2,0
Aruba,,,
Australia,1314,88,7
Austria,3244,9,16
Azerbaijan,65,10,1
Bahamas,,,
Bahrain,332,149,2
Bangladesh,27,3,2
Barbados,14,0,0
Belarus,76,15,0
Belgium,3401,263,75
Belize,,,
Benin,2,0,0
Bermuda,0,0,0
Bhutan,2,0,0
Bolivia,24,0,0
"Bonaire, Saint Eustatius and Saba ",,,
Bosnia and Herzegovina,126,2,1
Botswana,,,
Bouvet Island,,,
Brazil,1593,2,25
British Indian Ocean Territory,,,
British Virgin Islands,,,
Brunei,88,2,0
Bulgaria,187,3,3
Burkina Faso,75,5,4
Burundi,,,
Cambodia,84,1,0
Cameroon,40,0,0
Canada,1470,10,21
Cape Verde,,,
Cayman Islands,,,
Central African Republic,3,0,0
Chad,1,0,0
Chile,632,8,1
China,81432,72813,3274
Christmas Island,,,
Cocos Islands,,,
Colombia,231,3,2
Comoros,,,
Cook Islands,,,
Costa Rica,134,2,2
Croatia,254,5,1
Cuba,35,0,1
Curacao,,,
Cyprus,95,3,1
Czech Republic,,,
Czechia,,,
Democratic Republic of the Congo,,,
Denmark,1514,1,13
Djibouti,1,0,0
Dominica,1,0,0
Dominican Republic,202,0,3
East Timor,,,
Ecuador,789,3,14
Egypt,327,56,14
El Salvador,3,0,0
Equatorial Guinea,6,0,0
Eritrea,1,0,0
Estonia,326,2,0
Ethiopia,11,4,0
Falkland Islands,,,
Faroe Islands,,,
Fiji,2,0,0
Finland,626,10,1
France,16044,2200,674
French Guiana,18,6,0
French Polynesia,,,
French Southern Territories,,,
Gabon,5,0,1
"Gambia, The",1,0,0
Georgia,54,3,0
Germany,24873,266,94
Ghana,24,0,1
Gibraltar,,,
Greece,624,19,15
Greenland,,,
Grenada,1,0,0
Guadeloupe,56,0,0
Guam,,,
Guatemala,19,0,1
Guernsey,,,
Guinea-Bissau,,,
Guinea,2,0,0
Guyana,7,0,1
Haiti,2,0,0
Heard Island and McDonald Islands,,,
Honduras,26,0,0
Hong Kong,,,
Hungary,131,16,6
Iceland,568,36,1
India,396,27,7
Indonesia,514,29,48
Iran,21638,7931,1685
Iraq,233,57,20
Ireland,906,5,4
Isle of Man,,,
Israel,1071,37,1
Italy,59138,7024,5476
Ivory Coast,,,
Jamaica,16,2,1
Japan,1086,235,40
Jersey,,,
Jordan,112,1,0
Kazakhstan,60,0,0
Kenya,15,0,0
Kiribati,,,
"Korea, South",8897,2909,104
Kosovo,2,0,0
Kuwait,188,27,0
Kyrgyzstan,14,0,0
Laos,,,
Latvia,139,1,0
Lebanon,248,8,4
Lesotho,,,
Liberia,3,0,0
Libya,,,
Liechtenstein,37,0,0
Lithuania,131,1,1
Luxembourg,798,6,8
Macao,,,
Macedonia,,,
Madagascar,3,0,0
Mainland China,81432,72813,3274
Malawi,,,
Malaysia,1306,139,10
Maldives,13,0,0
Mali,,,
Malta,90,2,0
Marshall Islands,,,
Martinique,37,0,1
Mauritania,2,0,0
Mauritius,18,0,1
Mayotte,11,0,0
Mexico,251,4,2
Micronesia,,,
Moldova,94,1,1
Monaco,23,1,0
Mongolia,10,0,0
Montenegro,21,0,0
Montserrat,,,
Morocco,115,3,4
Mozambique,1,0,0
Myanmar,,,
Namibia,3,0,0
Nauru,,,
Nepal,2,1,0
Netherlands,4216,2,180
New Caledonia,,,
New Zealand,66,0,0
Nicaragua,2,0,0
Niger,2,0,0
Nigeria,30,2,0
Niue,,,
Norfolk Island,,,
Northern Mariana Islands,,,
Norway,2383,1,7
Oman,55,17,0
Pakistan,776,5,5
Palau,,,
Palestinian Territory,,,
Panama,245,0,3
Papua New Guinea,1,0,0
Paraguay,22,0,1
People's Republic of Korea,0,0,0
Peru,363,1,5
Philippines,380,17,25
Pitcairn,,,
Poland,634,1,7
Portugal,1600,5,14
Puerto Rico,0,0,0
Qatar,494,33,0
Republic of the Congo,,,
Reunion,47,0,0
Romania,433,64,3
Russia,367,16,0
Rwanda,19,0,0
Saint Barthelemy,,,
Saint Helena,,,
Saint Kitts and Nevis,0,0,0
Saint Lucia,2,0,0
Saint Martin,0,0,0
Saint Pierre and Miquelon,,,
Saint Vincent and the Grenadines,1,0,0
Samoa,,,
San Marino,160,4,20
Sao Tome and Principe,,,
Saudi Arabia,511,16,0
Senegal,67,5,0
Serbia,222,1,2
Seychelles,7,0,0
Sierra Leone,,,
Singapore,455,144,2
Sint Maarten,0,0,0
Slovakia,185,7,1
Slovenia,414,0,2
Solomon Islands,,,
Somalia,1,0,0
South Africa,274,0,0
South Georgia and the South Sandwich Islands,,,
South Sudan,,,
Spain,28768,2575,1772
Sri Lanka,82,3,0
Sudan,2,0,1
Suriname,5,0,0
Svalbard and Jan Mayen,,,
Swaziland,,,
Sweden,1934,16,21
Switzerland,7245,131,98
Syria,1,0,0
Taiwan*,169,28,2
Tajikistan,,,
Tanzania,12,0,0
Thailand,599,44,1
Togo,16,1,0
Tokelau,,,
Tonga,,,
Trinidad and Tobago,50,1,0
Tunisia,75,1,3
Turkey,1236,0,30
Turkmenistan,,,
Turks and Caicos Islands,,,
Tuvalu,,,
U.S. Virgin Islands,,,
Uganda,1,0,0
Ukraine,73,1,3
United Arab Emirates,153,38,2
United Kingdom,5741,67,282
United States Minor Outlying Islands,,,
Uruguay,135,0,0
US,33276,178,417
Uzbekistan,43,0,0
Vanuatu,,,
Vatican,0,0,0
Venezuela,70,15,0
Vietnam,113,17,0
Wallis and Futuna,,,
Western Sahara,,,
Yemen,,,
Zambia,3,0,0
Zimbabwe,3,0,0
